id,avg_income_ttm,avg_expense_ttm,ori_country,dest_country,trip_type_oneway,trip_type_roundtrip,trip_cost,num_stops,booking_date,dept_date,return_date,num_travellers,traveller_one_dob,traveller_two_dob,traveller_three_dob,traveller_four_dob,ins_comp,subs_plan
1,5159.83,2957.42,Singapore,New Zealand,TRUE,FALSE,541.16,0,17-10-20,05-02-21,26-02-21,1,21-12-99,,,,AXA,1
2,3469.29,1064.51,Singapore,China,FALSE,TRUE,1685.12,0,28-10-20,08-02-21,26-02-21,1,03-10-82,,,,Allianze,0
3,4418.5,1947.37,Singapore,China,TRUE,FALSE,508.89,1,04-10-20,10-02-21,16-03-21,3,26-11-05,14-08-91,30-09-16,,AIA,0
4,4281.28,1618.04,Singapore,China,FALSE,TRUE,604.88,3,18-10-20,08-02-21,13-03-21,4,18-08-12,08-02-04,14-03-08,26-11-01,AIA,0
5,3476.88,1759.99,Singapore,China,TRUE,FALSE,1024.63,3,22-10-20,02-02-21,23-02-21,3,24-04-83,08-09-88,13-04-93,,Aviva,2
6,7070.53,2955.9,Singapore,China,FALSE,TRUE,427.11,2,07-10-20,12-02-21,15-02-21,3,22-09-92,19-01-04,10-04-10,,Aviva,1
7,4017.9,1685.92,Singapore,China,FALSE,TRUE,871.34,1,11-10-20,07-02-21,15-02-21,4,28-08-81,31-12-77,27-05-93,22-03-96,Allianze,2
8,11211.54,2608.6,Singapore,China,FALSE,TRUE,666.36,1,15-10-20,07-02-21,07-03-21,3,04-09-15,16-05-72,28-04-15,,AIA,2
9,4917.5,2554.04,Singapore,United States,FALSE,TRUE,862.22,2,19-10-20,03-02-21,27-03-21,3,15-12-03,04-10-72,26-10-75,,Allianze,0
10,10167.09,1810.46,Singapore,Thailand,TRUE,FALSE,925.08,0,06-10-20,10-02-21,21-02-21,4,04-11-85,08-03-14,30-11-88,23-02-92,Aviva,2
11,10438.29,1533.49,Singapore,Malaysia,FALSE,TRUE,231.39,3,16-10-20,13-02-21,22-03-21,1,02-03-14,,,,AXA,0
12,6181.49,2404.25,Singapore,China,TRUE,FALSE,1782.78,2,14-10-20,07-02-21,21-03-21,2,21-01-74,09-07-10,,,AIA,1
13,8505.79,2548.24,Singapore,China,FALSE,TRUE,1877.59,1,22-10-20,12-02-21,16-02-21,2,29-10-71,09-04-75,,,Aviva,2
14,3738.03,2386.96,Singapore,China,FALSE,TRUE,1313.9,3,17-10-20,13-02-21,15-02-21,4,12-10-98,04-09-13,11-04-18,01-12-81,AIA,1
15,5422.47,1931.54,Singapore,China,TRUE,FALSE,209.91,1,06-10-20,01-02-21,15-02-21,1,16-08-82,,,,AIA,2
16,11465.07,2862.74,Singapore,Philippines,FALSE,TRUE,570.09,3,04-10-20,02-02-21,27-02-21,2,04-06-06,28-04-02,,,AXA,0
17,6770.18,1361.28,Singapore,China,TRUE,FALSE,1999.38,3,11-10-20,13-02-21,15-03-21,1,13-08-80,,,,Aviva,0
18,5860.08,2885.27,Singapore,China,FALSE,TRUE,1596.06,2,26-10-20,05-02-21,10-03-21,2,07-10-03,02-11-12,,,Aviva,2
19,8003.99,1574.44,Singapore,China,FALSE,TRUE,984.81,0,23-10-20,12-02-21,03-03-21,4,21-12-75,07-04-16,07-12-11,05-09-04,AIA,1
20,8077.65,2608.14,Singapore,United States,TRUE,FALSE,1832.65,1,25-10-20,03-02-21,15-02-21,1,10-09-87,,,,AIA,2
21,7922.2,2922.42,Singapore,China,FALSE,TRUE,384.48,0,03-10-20,10-02-21,28-03-21,2,18-05-96,13-08-09,,,AXA,1
22,4097.04,1007.72,Singapore,China,TRUE,FALSE,1337.87,1,12-10-20,01-02-21,20-03-21,2,09-11-93,08-02-10,,,Aviva,0
23,10708.81,1837,Singapore,Malaysia,FALSE,TRUE,1276.21,2,26-10-20,09-02-21,22-03-21,4,12-10-15,29-11-70,24-02-80,03-10-97,Aviva,2
24,4315.08,2009.21,Singapore,China,FALSE,TRUE,1879.62,1,07-10-20,05-02-21,03-03-21,2,07-04-77,21-10-99,,,AIA,1
25,6943.23,1380.99,Singapore,China,TRUE,FALSE,323.13,1,14-10-20,09-02-21,18-03-21,3,14-08-81,24-07-12,10-08-00,,Aviva,1
26,9963.8,2725.61,Singapore,China,FALSE,TRUE,491.99,2,15-10-20,01-02-21,10-03-21,1,29-08-75,,,,Aviva,0
27,6433.6,2414.7,Singapore,China,FALSE,TRUE,1460.64,0,19-10-20,12-02-21,19-03-21,2,23-01-98,08-08-71,,,AXA,1
28,9419.14,1662.16,Singapore,Thailand,TRUE,FALSE,1248.89,2,29-10-20,05-02-21,30-03-21,1,29-05-01,,,,Aviva,1
29,11631.16,2143.18,Singapore,China,FALSE,TRUE,1141,1,06-10-20,09-02-21,30-03-21,4,19-06-92,18-01-78,24-03-87,13-04-87,AXA,0
30,4233.94,881.45,Singapore,China,FALSE,TRUE,1879.41,3,04-10-20,13-02-21,22-02-21,3,19-04-04,13-01-14,17-12-72,,Aviva,1
31,5915.77,2100.23,Singapore,China,FALSE,TRUE,246.32,2,04-10-20,02-02-21,25-03-21,1,12-01-17,,,,Aviva,1
32,10829.05,1436.23,Singapore,Philippines,TRUE,FALSE,1980.01,1,28-10-20,08-02-21,19-02-21,3,29-09-81,28-05-72,02-08-79,,AXA,2
33,10136.15,1149.67,Singapore,China,FALSE,TRUE,1193.62,0,20-10-20,13-02-21,08-03-21,4,12-10-17,30-12-12,23-11-93,11-11-94,AIA,2
34,2812.03,2596.23,Singapore,China,FALSE,TRUE,708.03,1,23-10-20,04-02-21,22-02-21,1,09-03-86,,,,Aviva,2
35,8949.75,2313.31,Singapore,United States,FALSE,TRUE,838.08,0,19-10-20,01-02-21,26-03-21,1,22-12-07,,,,Allianze,0
36,6922.95,1669.25,Singapore,Thailand,TRUE,FALSE,1120.77,3,11-10-20,09-02-21,14-03-21,3,14-10-92,08-06-89,14-07-15,,Aviva,1
37,6886.4,1656.12,Singapore,China,TRUE,FALSE,1292.69,0,22-10-20,13-02-21,24-03-21,4,19-08-12,07-09-86,07-02-88,15-07-96,AIA,1
38,5454.18,2655.57,Singapore,China,TRUE,FALSE,341.19,3,21-10-20,07-02-21,27-02-21,2,24-01-17,18-02-08,,,Aviva,2
39,10414.93,2279.09,Singapore,Philippines,TRUE,FALSE,966.86,2,28-10-20,10-02-21,24-03-21,4,19-08-02,02-01-18,17-12-05,19-05-99,AXA,0
40,3719.11,977.74,Singapore,China,TRUE,FALSE,350.1,1,28-10-20,02-02-21,15-02-21,3,31-10-97,22-03-10,15-09-80,,AIA,1
41,4752.02,2071.49,Singapore,China,FALSE,TRUE,1657.19,2,27-10-20,09-02-21,27-03-21,3,04-07-80,24-02-10,06-05-10,,AXA,0
42,7066.03,2946.06,Singapore,China,TRUE,FALSE,251.32,3,21-10-20,01-02-21,19-03-21,4,29-08-90,31-01-87,06-12-88,24-12-78,AXA,2
43,7161.95,1207.54,Singapore,United States,FALSE,TRUE,1404.47,0,14-10-20,10-02-21,24-03-21,3,16-04-98,09-10-15,23-11-93,,Allianze,0
44,3591.82,1137.25,Singapore,China,TRUE,FALSE,1256.49,0,10-10-20,08-02-21,26-03-21,1,13-04-06,,,,AXA,1
45,11619.97,2075.82,Singapore,Philippines,TRUE,FALSE,671.06,1,25-10-20,01-02-21,19-03-21,2,04-09-05,14-02-06,,,AXA,2
46,6132.59,1246.23,Singapore,China,TRUE,FALSE,798.41,3,06-10-20,12-02-21,06-03-21,2,24-02-75,10-11-89,,,Allianze,2
47,2552.02,1627.14,Singapore,Philippines,TRUE,FALSE,1712.41,3,25-10-20,10-02-21,09-03-21,3,28-04-80,02-08-95,25-03-78,,AXA,1
48,9764.49,2057.61,Singapore,China,TRUE,FALSE,616.05,2,09-10-20,01-02-21,27-02-21,2,07-06-05,15-03-99,,,Aviva,1
49,5828.96,1377.42,Singapore,China,FALSE,TRUE,379.48,2,03-10-20,08-02-21,30-03-21,3,28-01-16,16-08-13,08-04-00,,Aviva,1
50,2462.66,2940.3,Singapore,China,TRUE,FALSE,1850.87,0,10-10-20,08-02-21,22-02-21,4,07-06-85,19-05-15,19-05-89,08-12-07,Aviva,2
51,5732.74,1755.59,Singapore,Vietnam,TRUE,FALSE,1879.37,3,05-10-20,08-02-21,16-03-21,3,08-03-84,12-05-90,07-10-92,,Allianze,1
52,7949.7,1147.45,Singapore,United States,TRUE,FALSE,1243.3,2,24-10-20,07-02-21,14-03-21,4,05-12-80,08-02-73,24-12-15,08-02-88,Allianze,1
53,4473.69,2999.45,Singapore,China,FALSE,TRUE,839.95,0,28-10-20,09-02-21,13-03-21,3,16-05-14,17-02-14,22-05-90,,Allianze,1
54,2674.77,1270.32,Singapore,Malaysia,FALSE,TRUE,118.14,1,12-10-20,02-02-21,01-03-21,2,15-02-12,09-12-85,,,AXA,2
55,11463.68,864.66,Singapore,China,FALSE,TRUE,669.05,2,12-10-20,09-02-21,14-03-21,1,22-05-16,,,,AXA,2
56,3565.72,895.91,Singapore,China,TRUE,FALSE,1495.94,3,29-10-20,08-02-21,27-02-21,1,20-02-85,,,,AIA,1
57,6241.84,2809.32,Singapore,China,FALSE,TRUE,1644.28,2,23-10-20,07-02-21,02-03-21,3,02-09-90,02-03-75,06-05-74,,Allianze,0
58,9971.97,1540.07,Singapore,China,TRUE,FALSE,113.89,3,08-10-20,04-02-21,17-03-21,1,03-04-18,,,,Allianze,2
59,11833.07,2521.5,Singapore,Philippines,FALSE,TRUE,1094.24,1,11-10-20,08-02-21,20-03-21,2,06-12-75,09-09-86,,,AXA,2
60,9848.08,2123.09,Singapore,Philippines,FALSE,TRUE,428.04,3,20-10-20,04-02-21,22-02-21,3,06-09-93,28-08-09,26-02-18,,AXA,2
61,11721.54,1297.97,Singapore,China,TRUE,FALSE,689.8,0,07-10-20,01-02-21,13-03-21,4,19-03-70,07-06-73,09-11-98,23-01-83,AIA,0
62,6341.84,2810.67,Singapore,China,TRUE,FALSE,1284.41,2,29-10-20,04-02-21,24-02-21,2,26-10-90,27-04-12,,,Allianze,0
63,9501.39,1411.63,Singapore,China,FALSE,TRUE,435.98,2,27-10-20,03-02-21,28-03-21,3,19-07-16,01-11-14,07-01-95,,AIA,2
64,4412.34,2770.16,Singapore,United States,FALSE,TRUE,1097.75,0,16-10-20,03-02-21,17-03-21,3,14-02-13,12-03-76,27-01-79,,AIA,2
65,5551.23,1969.29,Singapore,China,TRUE,FALSE,1935.21,1,05-10-20,05-02-21,15-02-21,1,18-05-83,,,,Aviva,1
66,5236.85,1678.27,Singapore,Taiwan,TRUE,FALSE,1947.07,2,16-10-20,01-02-21,23-02-21,4,03-07-15,18-11-74,05-12-92,17-10-06,AIA,2
67,8531.6,2429.8,Singapore,Philippines,TRUE,FALSE,1143.47,0,25-10-20,01-02-21,26-02-21,4,02-12-90,25-10-87,01-07-71,14-08-93,AXA,0
68,3637.04,981.93,Singapore,Malaysia,FALSE,TRUE,1604.81,0,09-10-20,05-02-21,03-03-21,2,27-04-82,21-03-91,,,AXA,0
69,6368.18,2501.37,Singapore,Philippines,TRUE,FALSE,1065.95,3,25-10-20,11-02-21,11-03-21,2,25-08-72,29-12-09,,,AXA,1
70,4449.25,2757.43,Singapore,China,TRUE,FALSE,625.6,0,19-10-20,06-02-21,26-03-21,2,16-02-80,05-02-86,,,Aviva,0
71,2235.99,2715.09,Singapore,China,FALSE,TRUE,1390.45,1,03-10-20,04-02-21,18-02-21,4,18-03-88,09-04-00,14-03-02,21-08-10,AIA,0
72,9695.49,1394.42,Singapore,China,TRUE,FALSE,1931.44,1,03-10-20,04-02-21,26-02-21,1,01-05-79,,,,AXA,1
73,6137.99,1772.15,Singapore,Thailand,TRUE,FALSE,568.75,3,10-10-20,02-02-21,16-02-21,2,13-10-76,09-05-95,,,Aviva,1
74,8032.74,2638.79,Singapore,China,TRUE,FALSE,722.33,0,20-10-20,12-02-21,24-02-21,3,12-11-70,22-02-14,28-10-92,,Allianze,1
75,2737.06,2283.97,Singapore,China,TRUE,FALSE,1747.22,1,22-10-20,03-02-21,29-03-21,2,15-01-79,08-11-73,,,Aviva,2
76,11993.24,1966.97,Singapore,Philippines,FALSE,TRUE,203.93,0,21-10-20,02-02-21,02-03-21,1,15-11-72,,,,AXA,0
77,9793.77,1375.91,Singapore,China,FALSE,TRUE,319,3,14-10-20,01-02-21,12-03-21,3,13-05-98,27-10-04,17-06-06,,AIA,2
78,9504.85,2543.96,Singapore,Philippines,TRUE,FALSE,1286.72,0,24-10-20,08-02-21,12-03-21,1,08-10-78,,,,AXA,0
79,8957.27,1383.39,Singapore,China,FALSE,TRUE,994.94,3,22-10-20,09-02-21,20-03-21,2,19-05-18,25-08-98,,,AXA,2
80,2629.92,2475.34,Singapore,China,FALSE,TRUE,1784.73,1,26-10-20,13-02-21,20-03-21,3,04-01-70,25-01-14,22-12-08,,AIA,2
81,2973.04,1645.3,Singapore,China,FALSE,TRUE,561.63,1,19-10-20,05-02-21,30-03-21,1,14-03-84,,,,AIA,1
82,2599.14,1978.19,Singapore,China,FALSE,TRUE,1560.78,2,10-10-20,05-02-21,14-03-21,4,27-04-97,19-01-88,08-03-70,21-10-84,AXA,1
83,6407.05,1321.49,Singapore,China,TRUE,FALSE,1181.18,0,06-10-20,02-02-21,19-02-21,3,15-04-18,18-12-72,11-03-10,,AXA,0
84,4891.62,1471.16,Singapore,China,FALSE,TRUE,311.71,2,26-10-20,08-02-21,10-03-21,1,19-06-00,,,,Allianze,0
85,11395.32,949.36,Singapore,China,TRUE,FALSE,329.44,0,05-10-20,04-02-21,14-03-21,4,23-02-16,02-09-93,20-10-01,22-02-05,AXA,1
86,7044.01,2742.26,Singapore,Philippines,TRUE,FALSE,646.79,0,04-10-20,11-02-21,05-03-21,3,08-11-15,16-05-75,19-01-16,,AXA,1
87,8039.69,1144.9,Singapore,Philippines,FALSE,TRUE,657.9,2,11-10-20,01-02-21,20-03-21,4,02-05-04,20-02-93,22-09-16,09-05-10,AXA,2
88,11332.03,2979.95,Singapore,China,FALSE,TRUE,426.68,3,22-10-20,12-02-21,15-02-21,1,05-08-81,,,,AIA,0
89,7443.77,2037.35,Singapore,China,TRUE,FALSE,1718.88,2,22-10-20,02-02-21,08-03-21,2,13-01-02,07-11-16,,,AIA,1
90,11979.76,2126.9,Singapore,China,TRUE,FALSE,1213.15,1,22-10-20,10-02-21,18-02-21,4,09-09-13,15-07-99,21-01-90,29-04-14,AIA,0
91,10258.9,2690.96,Singapore,China,FALSE,TRUE,232.37,0,23-10-20,11-02-21,18-02-21,4,09-06-70,30-03-96,13-02-10,28-03-70,Allianze,2
92,8864.7,1130.14,Singapore,Malaysia,TRUE,FALSE,1524.42,3,21-10-20,07-02-21,27-03-21,1,10-09-18,,,,Aviva,2
93,9653.16,2156.3,Singapore,Philippines,TRUE,FALSE,438.58,3,24-10-20,08-02-21,10-03-21,2,14-10-70,08-11-89,,,AXA,2
94,4494.57,2809.49,Singapore,China,FALSE,TRUE,1700.33,0,13-10-20,05-02-21,14-03-21,3,04-02-74,14-11-18,02-09-02,,Aviva,1
95,11543.28,1758.12,Singapore,China,TRUE,FALSE,1277.54,3,20-10-20,13-02-21,04-03-21,4,03-08-17,10-03-84,11-08-02,26-03-14,Aviva,1
96,6648.73,2055.08,Singapore,Philippines,TRUE,FALSE,838.41,2,04-10-20,12-02-21,24-03-21,4,03-05-06,03-11-95,10-02-01,02-12-06,AXA,2
97,11548.05,2816.91,Singapore,China,TRUE,FALSE,356.99,0,10-10-20,12-02-21,26-02-21,1,10-12-08,,,,AIA,2
98,10431.5,1980.39,Singapore,China,TRUE,FALSE,1681.91,1,07-10-20,13-02-21,14-03-21,3,29-01-13,11-10-07,02-10-81,,AXA,1
99,2499.37,1559.57,Singapore,China,FALSE,TRUE,235.52,2,09-10-20,07-02-21,06-03-21,2,24-02-99,24-11-71,,,Allianze,0
100,5206.05,2252.73,Singapore,Philippines,TRUE,FALSE,187.3,3,08-10-20,10-02-21,21-03-21,3,02-04-95,20-03-77,19-02-84,,AXA,0
101,9511.43,2557.04,Singapore,China,TRUE,FALSE,285.61,2,07-10-20,09-02-21,18-02-21,3,30-08-85,24-11-92,02-05-86,,Aviva,2
102,5101.75,835.13,Singapore,China,FALSE,TRUE,1491.26,1,10-10-20,02-02-21,27-02-21,2,30-10-14,01-05-08,,,AIA,1
103,2792.22,1329.79,Singapore,China,TRUE,FALSE,1807.44,3,22-10-20,06-02-21,01-03-21,3,19-06-14,18-09-74,19-01-05,,Allianze,2
104,3010.06,1486.63,Singapore,China,TRUE,FALSE,1741.95,2,06-10-20,01-02-21,15-03-21,4,03-12-74,11-03-93,22-01-72,07-06-81,Aviva,1
